Year,Month,MEI,CO2,CH4,N2O,CFC-11,CFC-12,TSI,Aerosols,Temp
1987,6,1.904,351.61,1687.78,305.865,233.798,420.222,13.658.307,105,121
1987,7,1.847,349.91,1681.24,306.138,234.778,422.707,13.658.223,108,238
1987,8,1.951,347.84,1678.77,306.095,235.789,426.191,1.365.786,108,219
1987,9,1.835,346.52,1681.62,306.178,237.075,428.871,1.365.857,104,0.25
1987,10,1.61,346.65,1701.48,306.252,238.697,431.542,13.658.508,94,174
1987,11,1.253,347.96,1716.57,306.393,239.588,433.915,13.659.837,89,186
1987,12,1.251,349.18,1708.14,306.503,240.058,436,1.366.035,89,314
1988,1,1.092,350.38,1698.29,306.636,241.155,438.296,13.660.546,85,334
1988,2,665,351.68,1701.18,306.699,242.064,440.937,13.661.079,88,189
1988,3,456,352.24,1706.09,306.638,243.44,442.755,13.659.519,78,248
1988,4,307,353.66,1708.18,306.581,244.954,443.846,13.660.642,74,224
1988,5,85,354.18,1705.69,306.472,246.043,444.729,13.663.008,71,175
1988,6,-0.71,353.68,1699.06,306.379,246.338,445.352,13.660.132,71,0.2
1988,7,-1.174,352.58,1687.9,306.468,247.245,447.106,13.658.269,8,168
1988,8,-1.374,350.66,1691.77,306.522,248.187,449.005,13.661.451,96,154
1988,9,-1.586,349.03,1701.35,306.611,249.389,451.255,13.664.616,69,149
1988,10,-1.35,349.08,1708.91,306.938,250.566,453.848,13.661.118,65,0.12
1988,11,-1.468,350.15,1719.88,307.274,251.664,456.226,13.662.957,68,27
1988,12,-1.343,351.44,1726.35,307.446,252.345,458.194,13.662.598,68,106
1989,1,-1.166,352.89,1721.48,307.609,252.554,459.549,13.665.409,72,19
1989,2,-1.312,353.24,1713.25,307.78,252.79,460.408,1.366.599,64,94
1989,3,-1.056,353.8,1715.68,307.747,253.161,461.292,13.663.758,62,88
1989,4,-842,355.59,1724.08,307.662,253.623,462.96,13.665.902,6,83
1989,5,-488,355.89,1724.93,307.614,253.699,463.964,13.667.788,47,73
1989,6,-273,355.3,1713.8,307.642,253.793,464.605,13.663.298,57,94
1989,7,-454,353.98,1700.53,307.704,254.315,466.046,13.670.685,67,167
1989,8,-501,351.53,1707.22,307.83,255.528,468.631,13.665.084,83,168
1989,9,-0.28,350.02,1721.44,307.993,256.719,470.907,13.662.616,62,135
1989,10,-318,350.29,1722.42,308.151,257.946,472.912,13.669.553,54,145
1989,11,-66,351.44,1726.21,308.389,258.73,474.245,13.668.248,55,67
1989,12,142,352.84,1730.61,308.558,259.472,475.63,13.668.784,54,181
1990,1,234,353.79,1727.9,308.651,259.917,476.396,13.668.759,59,187
1990,2,532,354.88,1728.43,308.67,260.525,477.152,13.666.353,74,242
1990,3,916,355.65,1733.82,308.703,260.594,477.409,13.666.447,62,442
1990,4,393,356.28,1737.49,308.601,260.604,478.259,13.668.675,44,285
1990,5,593,357.29,1734.47,308.564,260.699,479.174,1.366.531,44,231
1990,6,389,356.32,1722.26,308.46,261.138,480.57,13.667.708,6,233
1990,7,84,354.89,1712.71,308.411,261.594,481.251,13.664.602,73,196
1990,8,123,352.89,1717.93,308.496,262.342,482.685,13.661.691,74,227
1990,9,376,351.28,1733.81,308.718,263.107,484.643,13.668.029,68,179
1990,10,241,351.59,1736.9,308.879,263.616,486.334,13.666.147,58,271
1990,11,372,353.05,1741.42,309.072,264.455,487.528,13.658.518,6,278
1990,12,335,354.27,1749.58,309.227,265.182,488.674,1.366.387,6,199
1991,1,309,354.87,1734.82,309.404,265.709,489.664,13.660.527,6,224
1991,2,0.31,355.68,1730.98,309.528,266.008,490.433,13.663.072,57,272
1991,3,393,357.06,1746.52,309.467,265.86,491.114,1.366.524,55,161
1991,4,444,358.51,1749.54,309.381,265.876,491.634,13.670.578,53,299
1991,5,719,359.09,1747.24,309.093,265.784,491.15,1.366.426,53,249
1991,6,1.163,358.1,1739.98,308.954,267.329,492.105,13.664.313,179,269
1991,7,1.011,356.12,1730.94,308.789,267.25,493.348,13.666.668,377,271
1991,8,1.012,353.89,1721.95,309.009,266.54,493.929,13.664.562,71,225
1991,9,737,352.3,1734.55,309.365,265.986,495.096,13.668.856,964,176
1991,10,1.017,352.32,1751.75,309.527,266.846,496.798,13.661.477,1.197,133
1991,11,1.202,353.79,1750.27,309.72,267.752,497.967,13.666.227,138,79
1991,12,1.32,355.07,1752.37,310.254,267.859,498.083,13.659.437,1.385,84
1992,1,1.75,356.17,1755.57,310.48,268.05,499.467,13.665.226,1.483,266
1992,2,1.871,356.93,1750.02,310.128,268.274,501.644,13.664.271,1.494,0.25
1992,3,1.992,357.82,1752.39,309.69,268.477,502.436,13.667.462,1.428,199
1992,4,2.271,359,1753.24,309.508,268.387,502.811,13.665.951,1.386,132
1992,5,2.13,359.55,1744.48,309.383,268.65,504.226,13.664.173,1.379,125
1992,6,1.714,359.32,1743.3,309.392,269.014,505.101,13.662.973,1.265,118
1992,7,946,356.85,1736.28,309.687,269.483,505.671,13.660.569,1.228,-8
1992,8,536,354.91,1725.65,309.985,269.912,507.207,13.660.305,1.141,-7
1992,9,512,352.93,1729.78,310.229,270.497,508.52,13.661.615,1.044,-62
1992,10,669,353.31,1740.76,310.252,270.765,508.614,13.659.202,978,-72
1992,11,602,354.27,1755.29,310.216,270.886,508.737,13.661.329,918,-97
1992,12,644,355.53,1758.32,310.293,271.057,509.265,13.662.845,793,7
1993,1,699,356.86,1747.82,310.397,271.193,509.232,13.663.025,743,204
1993,2,999,357.27,1745.64,310.344,270.814,509.287,13.658.985,661,161
1993,3,979,358.36,1747.95,310.167,270.154,509.218,1.366.209,608,202
1993,4,1.388,359.27,1746.7,310.129,269.914,509.453,13.661.796,559,121
1993,5,1.987,360.19,1749.5,310.008,270.53,510.264,13.661.425,525,158
1993,6,1.459,359.52,1745.54,310.073,270.92,511.74,13.661.398,482,122
1993,7,01.09,357.42,1731.92,310.357,270.46,513.309,13.660.917,445,88
1993,8,1.003,355.46,1731.93,310.242,270.194,513.715,13.660.459,425,0.06
1993,9,982,354.1,1744.46,309.942,270.685,513.455,13.658.892,394,13
1993,10,1.059,354.12,1760.21,310.217,271.216,513.602,13.657.272,376,61
1993,11,822,355.4,1767.99,310.429,271.339,514.557,13.657.575,35,-41
1993,12,562,356.84,1763.5,310.091,271.494,514.616,13.659.086,312,111
1994,1,338,358.22,1759.84,309.951,271.238,514.991,13.657.375,285,0.16
1994,2,192,358.98,1752.06,310.144,270.9,515.387,13.659.885,265,-72
1994,3,159,359.91,1754.63,310.03,270.676,515.302,13.660.304,238,176
1994,4,423,361.32,1763.75,310.089,270.924,515.243,13.658.642,218,173
1994,5,521,361.68,1755.04,310.157,270.691,515.523,13.657.634,205,218
1994,6,734,360.8,1746.61,310.162,270.516,516.232,1.365.764,185,191
1994,7,823,359.39,1737.42,310.089,270.85,517.172,13.657.607,179,141
1994,8,743,357.42,1733.9,310.216,271.228,517.716,13.657.771,173,175
1994,9,0.88,355.63,1757.14,310.526,271.042,518.274,13.656.473,161,156
1994,10,1.433,356.09,1778.6,310.813,270.928,519.545,13.657.159,166,0.23
1994,11,1.278,357.56,1781.02,310.914,271.087,520.879,13.658.294,159,248
1994,12,1.184,358.87,1779.12,310.947,270.807,521.311,13.657.053,16,227
1995,1,1.2,359.87,1764.33,311.115,270.435,521.54,1.365.825,12,349
1995,2,961,360.79,1756.89,311.216,270.304,521.752,13.658.141,117,449
1995,3,862,361.77,1764.65,311.124,270.098,522.426,13.657.192,109,286
1995,4,419,363.23,1762.72,310.918,269.861,523.229,13.656.222,0.01,229
1995,5,494,363.77,1761.94,310.824,269.941,523.768,13.656.586,0.01,176
1995,6,454,363.22,1759.03,310.871,269.873,523.966,13.657.249,93,283
1995,7,182,361.7,1749.21,310.713,269.636,524.878,1.365.696,94,276
1995,8,-197,359.11,1750.94,310.697,269.661,525.647,1.365.715,87,305
1995,9,-468,358.11,1761.26,310.828,269.792,525.989,13.656.943,85,0.21
1995,10,-487,357.97,1768.73,311.156,269.799,526.535,1.365.603,88,241
1995,11,-495,359.4,1768.11,311.282,269.967,527.047,13.656.735,86,266
1995,12,-559,360.61,1772.75,311.428,269.981,527.476,13.656.402,77,163
1996,1,-644,362.04,1771.15,311.62,269.579,528.077,13.656.409,74,69
1996,2,-595,363.17,1770.25,311.83,269.384,528.897,13.656.254,72,246
1996,3,-264,364.17,1769.7,311.828,269.482,528.589,13.655.815,68,0.13
1996,4,-505,364.51,1758.89,311.711,269.61,528.263,13.656.076,63,97
1996,5,-178,365.16,1754.78,311.533,269.456,528.449,13.656.243,67,177
1996,6,-1,364.93,1753.6,311.478,269.163,528.67,13.656.256,6,159
1996,7,-208,363.53,1747.03,311.481,268.803,528.804,13.655.968,66,177
1996,8,-396,361.38,1745.36,311.66,268.982,529.492,13.656.629,62,178
1996,9,-499,359.6,1766.96,311.739,268.964,530.227,13.656.787,59,93
1996,10,-387,359.54,1774.5,311.85,268.728,530.837,13.656.315,64,89
1996,11,-161,360.84,1769.75,312.03,268.673,531.628,13.654.708,64,77
1996,12,-338,362.18,1772.83,312.358,268.872,532.22,13.656.994,61,172
1997,1,-487,363.04,1769.9,312.408,268.715,532.302,13.656.956,6,156
1997,2,-607,364.09,1768.98,312.461,268.491,532.387,13.656.713,57,247
1997,3,-254,364.47,1776.07,312.584,268.388,532.452,13.656.975,53,262
1997,4,493,366.25,1780.96,312.652,268.151,532.257,13.657.013,52,201
1997,5,1.119,366.69,1776.67,312.519,268.078,532.311,13.657.356,55,254
1997,6,2.307,365.59,1768.27,312.568,268.026,532.575,13.657.267,5,367
1997,7,2.756,364.34,1751.61,312.647,267.784,532.827,13.657.217,54,372
1997,8,3.001,362.2,1750.23,312.702,267.441,533.315,13.657.823,51,406
1997,9,3,360.31,1775.56,312.845,267.414,534.415,13.656.734,53,457
1997,10,2.358,360.71,1784.8,313.025,267.469,535.205,13.659.298,51,485
1997,11,2.518,362.44,1783.94,313.032,267.495,535.405,1.365.842,47,449
1997,12,2.32,364.33,1783.14,313.223,267.368,535.373,13.658.847,43,526
1998,1,2.483,365.18,1772.15,313.46,267.19,535.465,13.659.594,4,486
1998,2,2.777,365.98,1766.01,313.512,266.978,535.561,13.659.166,37,739
1998,3,2.748,367.13,1774.54,313.346,266.593,535.421,13.658.236,34,0.52
1998,4,2.673,368.61,1780.3,313.24,266.054,535.409,13.660.897,31,608
1998,5,2.169,369.49,1781.02,313.26,265.841,535.766,13.659.614,29,0.57
1998,6,1.129,368.95,1779,313.419,265.668,536.123,13.660.544,27,579
1998,7,285,367.74,1762.46,313.542,265.787,536.151,13.662.444,25,651
1998,8,-0.41,365.79,1757.06,313.619,265.784,536.489,1.366.086,24,616
1998,9,-667,364.01,1771.02,313.7,265.911,537.326,13.660.766,23,0.4
1998,10,-849,364.35,1787.32,313.89,266.395,538.583,13.663.395,22,409
1998,11,-1.17,365.52,1798.26,314.201,266.352,538.473,13.662.555,22,342
1998,12,-1.012,367.08,1802.92,314.504,266.247,538.66,13.663.697,22,424
1999,1,-1.149,368.12,1796.25,314.589,266.016,538.872,13.664.773,22,366
1999,2,-1.238,368.98,1784.64,314.571,265.701,538.971,13.662.395,22,0.54
1999,3,-1.068,369.6,1788.08,314.444,265.343,539.005,13.663.539,21,0.29
1999,4,-1.022,370.96,1788.27,314.324,265.111,538.895,13.662.515,21,322
1999,5,-681,370.77,1773.11,314.381,264.811,539.015,13.663.802,21,248
1999,6,-0.42,370.33,1771.39,314.436,264.479,538.912,1.366.395,21,266
1999,7,-465,369.28,1767.43,314.479,264.296,539.103,13.664.328,21,282
1999,8,-787,366.86,1768.99,314.559,264.182,539.311,13.664.732,21,253
1999,9,-1.004,364.94,1786.22,314.716,264.14,539.685,13.665.807,21,274
1999,10,-1.011,365.35,1794.88,314.858,264.181,539.952,13.662.295,21,241
1999,11,-1.079,366.68,1796.88,315.006,264.266,540.312,13.663.525,21,223
1999,12,-1.207,368.04,1802.26,315.081,264.212,540.749,13.663.697,21,338
2000,1,-1.197,369.25,1802.45,315.169,264.074,541.045,13.667.211,21,212
2000,2,-1.246,369.5,1794.21,315.148,263.832,540.971,1.366.632,21,363
2000,3,-1.138,370.56,1792.32,315.162,263.473,540.729,13.664.819,21,334
2000,4,-521,371.82,1787.23,315.201,263.068,541.073,13.666.498,21,446
2000,5,157,371.51,1774.19,315.434,262.655,541.342,13.663.611,21,271
2000,6,-0.15,371.71,1772.71,315.611,262.417,541.652,13.664.507,21,252
2000,7,-201,369.85,1769.87,315.82,262.444,541.745,13.665.754,21,261
2000,8,-0.14,368.2,1762.4,315.877,262.428,541.777,13.669.738,21,338
2000,9,-247,366.91,1774.22,315.929,262.365,541.898,13.665.276,21,309
2000,10,-381,366.99,1797.37,316.014,262.407,542.279,13.669.746,21,213
2000,11,-755,368.33,1799.06,316.133,262.448,542.379,13.669.062,21,159
2000,12,-581,369.67,1791.13,316.215,262.356,542.388,13.669.492,21,179
2001,1,-539,370.52,1789.56,316.264,262.207,542.493,13.667.811,21,329
2001,2,-717,371.49,1793.7,316.268,261.978,542.613,13.668.458,21,289
2001,3,-607,372.53,1801.51,316.163,261.612,542.323,13.664.121,21,475
2001,4,-146,373.37,1797.89,316.128,261.27,542.068,13.664.659,21,426
2001,5,185,373.82,1783.63,316.046,261.019,542.003,1366.52,21,399
2001,6,-76,373.18,1773.87,316.087,260.816,542.143,13.665.092,21,416
2001,7,253,371.57,1769.8,316.159,260.612,542.092,13.667.203,21,452
2001,8,367,369.63,1765.16,316.233,260.4,542.131,13.664.475,21,498
2001,9,-126,368.16,1780.4,316.324,260.311,542.279,1.366.301,21,405
2001,10,-276,368.42,1791.44,316.51,260.355,542.802,1.366.814,21,378
2001,11,-0.18,369.69,1793.55,316.729,260.434,543.226,1366.52,21,491
2001,12,3,371.18,1796.58,316.883,260.432,543.419,1.366.891,22,323
2002,1,-0.05,372.45,1787.94,316.967,260.392,543.501,13.673.162,21,568
2002,2,-0.21,373.14,1783.38,317.009,260.284,543.813,13.671.783,21,593
2002,3,-201,373.93,1786.67,316.969,260.008,543.473,13.670.065,2,586
2002,4,339,375,1782.47,316.882,259.574,543.165,13.666.454,2,443
2002,5,778,375.65,1778.81,316.806,259.153,543.053,1.366.647,19,432
2002,6,853,375.5,1775.11,316.849,258.797,543.279,13.666.873,19,455
2002,7,596,374,1766.96,316.874,258.6,543.181,13.661.716,16,462
2002,8,922,371.83,1766.58,316.9,258.399,542.882,13.663.053,21,417
2002,9,808,370.66,1780.92,317.015,258.269,543.078,13.664.584,22,413
2002,10,952,370.51,1796,317.133,258.274,543.472,13.665.261,22,362
2002,11,1.059,372.2,1801.67,317.234,258.289,543.647,13.664.495,24,397
2002,12,1.11,373.71,1793.14,317.214,257.956,543.383,13.667.773,26,326
2003,1,1.184,374.87,1786.46,317.207,257.416,543.113,13.666.034,28,514
2003,2,927,375.62,1792.28,317.268,257.107,543.032,13.665.458,28,427
2003,3,819,376.48,1797.44,317.403,256.985,543.149,13.661.968,26,418
2003,4,308,377.74,1795.5,317.555,256.724,543.028,13.662.227,26,408
2003,5,48,378.5,1787.39,317.556,256.395,542.513,13.661.753,25,439
2003,6,26,378.18,1791.12,317.558,256.239,542.162,13.660.914,25,437
2003,7,89,376.72,1785.91,317.604,256.118,542.208,13.662.437,26,457
2003,8,241,374.32,1773.56,317.703,255.889,542.529,13.662.744,28,514
2003,9,441,373.2,1788.75,317.796,255.641,542.719,13.663.611,29,499
2003,10,509,373.1,1806.62,317.95,255.573,542.935,13.655.612,28,0.55
2003,11,519,374.64,1808.15,318.08,255.679,543.166,13.661.956,28,419
2003,12,315,375.93,1795.07,318.129,255.522,543.199,13.662.899,27,519
2004,1,308,377,1790.34,318.193,255.276,543.133,13.661.038,25,496
2004,2,0.33,377.87,1798.45,318.188,255.018,543.039,1.366.089,24,0.56
2004,3,-125,378.73,1807.48,318.198,254.712,543.008,13.661.272,24,501
2004,4,216,380.41,1806.05,318.13,254.385,542.685,13.661.742,24,484
2004,5,0.47,380.63,1788.24,318.101,254.176,542.361,13.660.297,22,323
2004,6,0.17,379.56,1780.35,318.074,253.87,542.098,13.660.179,22,0.35
2004,7,472,377.61,1775.16,318.131,253.59,541.999,13.657.578,23,0.38
2004,8,669,376.15,1770.29,318.236,253.44,541.864,13.659.036,25,418
2004,9,524,374.11,1778.7,318.314,253.211,541.798,13.660.957,25,442
2004,10,467,374.44,1791.29,318.476,252.899,542.317,13.661.166,25,468
2004,11,786,375.93,1801.03,318.648,252.783,542.474,13.660.057,25,521
2004,12,643,377.45,1797.24,318.825,252.754,542.172,13.661.552,27,381
2005,1,301,378.47,1789.02,318.858,252.659,541.892,13.657.864,29,452
2005,2,799,379.76,1796.63,318.864,252.479,542.021,13.659.349,31,364
2005,3,1.018,381.14,1803.37,318.866,252.271,542.044,13.658.956,34,493
2005,4,559,382.2,1791.84,318.866,251.965,541.74,1365.88,35,0.53
2005,5,756,382.47,1781.36,318.866,251.676,541.332,13.658.463,34,476
2005,6,487,382.2,1780.6,318.847,251.511,540.979,13.658.059,33,506
2005,7,492,380.78,1771.92,318.861,251.306,540.964,13.658.595,33,532
2005,8,321,378.73,1766.98,318.933,251.077,540.978,13.659.275,36,502
2005,9,255,376.66,1787.78,319.108,250.998,541.206,13.657.988,37,498
2005,10,-166,376.98,1806.71,319.299,251.021,541.44,1.365.886,37,495
2005,11,-407,378.29,1803.68,319.525,251.048,541.756,13.657.792,37,478
2005,12,-585,379.92,1798.89,319.688,250.989,541.799,13.658.549,36,366
2006,1,-471,381.35,1795.03,319.826,250.771,541.627,13.658.986,34,0.32
2006,2,-455,382.16,1786.41,319.947,250.484,541.273,13.658.728,33,435
2006,3,-591,382.66,1786.77,319.902,250.155,540.952,1.365.785,32,0.38
2006,4,-688,384.73,1801.19,319.815,249.989,540.741,13.658.058,32,378
2006,5,-36,384.98,1798.85,319.848,249.839,540.456,1.365.923,3,352
2006,6,563,384.09,1780.21,319.882,249.614,539.999,1.365.834,33,442
2006,7,628,382.38,1765.95,319.872,249.247,539.725,13.658.212,38,456
2006,8,759,380.45,1762.66,319.93,248.981,539.682,13.657.067,41,482
2006,9,793,378.92,1776.04,320.01,248.775,539.566,13.658.419,43,425
2006,10,892,379.16,1789.02,320.125,248.666,539.488,1.365.827,44,472
2006,11,1.292,380.18,1791.91,320.321,248.605,539.5,13.657.039,49,0.44
2006,12,951,381.79,1795.04,320.451,248.48,539.377,13.657.087,54,518
2007,1,974,382.93,1799.66,320.561,248.372,539.206,13.657.173,54,601
2007,2,0.51,383.81,1803.08,320.571,248.264,538.973,13.657.145,51,498
2007,3,74,384.56,1803.1,320.548,247.997,538.811,13.657.544,45,435
2007,4,-49,386.4,1802.11,320.518,247.574,538.586,13.657.228,45,466
2007,5,183,386.58,1795.65,320.445,247.224,538.13,13.656.932,41,372
2007,6,-358,386.05,1781.81,320.332,246.881,537.376,13.657.616,4,382
2007,7,-0.29,384.49,1771.89,320.349,246.497,537.113,13.657.506,4,394
2007,8,-0.44,382,1779.38,320.471,246.307,537.125,13.657.566,41,358
2007,9,-1.162,380.9,1794.21,320.618,246.214,537.281,13.657.159,42,402
2007,10,-1.142,381.14,1802.38,320.855,246.189,537.38,13.657.388,41,362
2007,11,-1.177,382.42,1803.79,321.062,246.178,537.319,1.365.668,42,266
2007,12,-1.168,383.89,1805.58,321.217,246.261,537.052,13.656.927,4,226
2008,1,-1.011,385.44,1809.92,321.328,246.183,536.876,13.657.163,38,74
2008,2,-1.402,385.73,1803.45,321.345,245.898,536.484,13.657.366,36,198
2008,3,-1.635,385.97,1792.84,321.295,245.43,535.979,13.656.726,34,447
2008,4,-942,387.16,1792.57,321.354,245.086,535.648,13.657.146,33,278
2008,5,-355,388.5,1796.43,321.42,244.914,535.399,13.657.175,31,283
2008,6,128,387.88,1791.8,321.447,244.676,535.128,1.365.673,31,315
2008,7,3,386.42,1782.93,321.372,244.434,535.026,1.365.672,33,406
2008,8,-266,384.15,1779.88,321.405,244.2,535.072,1.365.657,36,407
2008,9,-643,383.09,1795.08,321.529,244.083,535.048,13.656.647,43,378
2008,10,-0.78,382.99,1814.18,321.796,244.08,534.927,13.656.759,46,0.44
2008,11,-621,384.13,1812.37,322.013,244.225,534.906,13.657.065,48,394
2008,12,-666,385.56,1812.88,322.182,244.204,535.005,13.656.926,46,0.33
